date,keyword,tweet_count,tweet_normalized,CL,CR,CL1RT,CL2RT,TBraw_ave,TBpolar_ave,TBneg_ave,TBpos_ave,TBweight_cl2rt,VADERraw_ave,VADERpolar_ave,VADERneg_ave,VADERpos_ave,VADERweight_cl2rt
2020-05-31,PE,2812,0.00720296110349774,58252,20696,76136,94020,0.09587606903642726,0.2392765629156555,-0.15273178548087943,0.20211859240796204,9.255351034230143,0.04343293029871974,0.07304496800465385,-0.4724572327044021,0.5029478489903421,-5.518833890469419
2020-06-30,PE,2302,0.005602513586460511,49953,11167,58818,67683,0.08858018224627186,0.2440588580682291,-0.1554351991535946,0.20487715512777022,1.4716132779983582,0.07213966116420513,0.10127027883396715,-0.5015247368421039,0.505285595567867,5.158873284100775
2020-07-31,PE,2742,0.0066617590250799925,28738,10990,36986,45234,0.08496947109276483,0.22541074646281933,-0.1727733873691275,0.20667002598297554,1.6504441382083395,0.0585338439095551,0.09135921658986179,-0.49240132596685027,0.49198295454545465,2.8909077315827876
2020-08-31,PE,3080,0.007809390030857233,56771,21468,75159,93547,0.0432002694101126,0.07213917621032702,-0.2427188095287254,0.20519469789313485,-1.7938181960118542,-0.041868571428571616,-0.063702079207921,-0.5185828835774869,0.4819563829787236,-8.055641948051925
2020-09-30,PE,2215,0.0057467387581855356,27943,10256,35984,44025,0.08172785021252794,0.2128451840913039,-0.171104223949204,0.20497748362620286,1.6959185970785444,0.10382939051918735,0.16103664812239235,-0.4718704081632648,0.5174628037383181,0.7268346726862372
2020-10-31,PE,1749,0.004593420561925823,11595,5685,15531,19467,0.09135922020022999,0.23797356816051016,-0.17571586965745462,0.20455587379825915,1.2709843065717117,0.12306363636363639,0.18270661375661373,-0.4954941431670281,0.5053087699316626,2.368513207547167
2020-11-30,PE,2129,0.004648522363781264,67491,26123,91485,115479,0.07856992342895326,0.1860480613322499,-0.1907009921736388,0.20144335937344596,-6.354053126616387,0.1124100986378586,0.1691595059880246,-0.5214538033395174,0.49749971319311614,14.92703320807892
2020-12-31,PE,1694,0.004726997742537678,21755,7293,27354,32953,0.0897116721503237,0.26201459618829254,-0.15611719315447387,0.2004744619098706,1.9957927767597903,0.09138943329397878,0.14109915572232648,-0.497711660079051,0.5102331242158095,1.1230926800472256
2021-01-31,PE,2196,0.006139274301993028,52587,19227,69618,86649,0.06026244545812127,0.10704924405663505,-0.22050608265982702,0.19400713542508305,-10.668013903290937,0.06726220400728634,0.1055922684172141,-0.5028521292217323,0.5121735632183908,-15.212949590163975
2021-02-28,PE,1882,0.006207451580558341,41439,11663,51220,61001,0.07229420229157385,0.15669656984271646,-0.21149771983416346,0.20300313178760226,-2.262222035224445,0.06984027630180659,0.09993190789473685,-0.5057477891156466,0.49120171821305764,-10.749007492029728
2021-03-31,PE,2642,0.004713261712687273,41760,15718,54836,67912,0.08222532994622309,0.17605402761618388,-0.18399712131982274,0.19308484056644284,2.41217261512989,0.07697365632096846,0.118023722627737,-0.4597777393310263,0.4882333333333328,1.2830080242240718
2021-04-30,PE,2413,0.006542273989241714,38316,11920,47823,57330,0.09313665894883646,0.2546259538571738,-0.14001920434562576,0.18552374729897805,2.4861205686114167,0.09885437215084934,0.13904248366013056,-0.4759236439499305,0.463097846889952,2.2400261085785274
2021-05-31,PE,2381,0.00464263778260912,26685,9769,34073,41461,0.10016200845893196,0.2730868852332091,-0.14523993016574316,0.19243202495618517,2.6199363935611775,0.11707971440571183,0.18584633093525182,-0.45776047619047616,0.4645011466011463,1.6460416631667387
2021-06-30,PE,2481,0.006262652779951434,105942,24602,128063,150184,0.09997228111390062,0.28020062964450676,-0.1669606722619552,0.21903457584082522,21.867290454367026,0.15767916162837545,0.24594346978557471,-0.46279061433447016,0.5154842801556412,21.54732789197903
2021-07-31,PE,2029,0.0041807467238110935,19218,6694,23883,28548,0.08802698951972655,0.23883719414149043,-0.15138520222304835,0.19313248505057348,1.5439301515595707,0.1155526860522426,0.16821867158671586,-0.4677150165016507,0.49845206929740105,0.6242653523903413
2021-08-31,PE,2303,0.0038545545838738022,25052,9564,32313,39574,0.08288331819683584,0.22451875823743103,-0.16130809019566106,0.19621697359175022,1.3523970684756579,0.13888849326964853,0.21649871152469585,-0.46274249547920443,0.5117838222222206,1.106320755536258
2021-09-30,PE,2160,0.004499493806946719,20489,7503,25832,31175,0.09184375825258312,0.2806361787707352,-0.13945542615067372,0.20150935608303314,0.9262707179794554,0.10896648148148155,0.1682027306273063,-0.5223754850088184,0.5000512699905929,0.08764069444444282
2021-10-31,PE,2221,0.0049387053520801045,22792,6904,27475,32158,0.10513739374033255,0.2659420883011216,-0.17327371499848224,0.20858275971650334,1.784517112541489,0.16437906348491668,0.24685061728395047,-0.4780432915921291,0.5363122137404581,2.3436051778478237
2021-11-30,PE,2266,0.005905178367137396,24629,9232,31595,38561,0.09929600085643625,0.2802187056797724,-0.14856498782483152,0.20323521365532776,3.14278592669568,0.1723301853486318,0.2578713418745788,-0.46238833652007644,0.5074873996789723,0.42643097969991256
2021-12-31,PE,1891,0.005017618714046148,13346,5293,16748,20150,0.10491009196473502,0.2601823449133299,-0.1619193376640374,0.20283069473773788,1.0510972245025765,0.19416139608672617,0.2783214506172833,-0.5301660194174755,0.5352720292504567,2.472802115282924
2022-01-31,PE,2222,0.006223165748502324,41133,11464,50375,59617,0.09840495217657906,0.27865783257577464,-0.151155709744135,0.20032749580582074,2.316783587456494,0.15513078307830783,0.2287356753069576,-0.44963371150729314,0.5308230375426619,-0.6540828982898284
2022-02-28,PE,2441,0.007110419779842062,50064,15418,63041,76018,0.10685730465070595,0.2811015163516397,-0.145256607579485,0.2058478253355025,5.526470114083802,0.18466870135190475,0.26747886723507885,-0.49078043875685506,0.5204292329956584,10.985132609586259
2022-03-31,PE,2457,0.006491550680067214,32814,10094,40451,48088,0.10715846661671354,0.27736366936738027,-0.16156819486174215,0.2043109287153511,4.042849384270616,0.16892458282458284,0.2475107493857495,-0.4732627868852452,0.529126315789473,6.759585185185193
2022-04-30,PE,2331,0.006686689443292227,50381,15616,63666,76951,0.10270025822654777,0.2886171683204961,-0.16635652034826473,0.1983267258042533,3.6141184073801766,0.17479969969969847,0.26590455153948955,-0.512659722222222,0.5387043689320369,-5.585133848133843
2022-05-31,PE,5217,0.009013647460473506,174814,38161,207758,240702,0.0989328916088041,0.2287754475084254,-0.19227146956750252,0.205688568945856,4.766971229990085,0.1264660149511208,0.1856684593023249,-0.5177813390313416,0.519961829771277,13.107182767874251
2022-06-30,PE,2625,0.008045113934137335,85134,22906,105415,125696,0.08315528189402124,0.20173647231395783,-0.19357027959005024,0.19716178619350672,3.9314226681316717,0.1406433142857143,0.1995540229885056,-0.46168902275769685,0.5133503953989936,4.759508647619073
2022-07-31,PE,2976,0.00865304935669114,135504,34621,167149,198794,0.09338001745650716,0.25690299614790874,-0.1529279863548052,0.1897005237277822,22.49972544990266,0.13120043682795637,0.19535110881897796,-0.4861844559585498,0.49823480806766474,34.57492483198924
2022-08-31,PE,2596,0.007444602806351427,21634,7086,26124,30614,0.09771547585129305,0.2667778485722041,-0.13927405338768975,0.1952375139916824,1.5260135836830881,0.15753281972265035,0.261867676102699,-0.46260888888888857,0.507522342064714,1.9735713790446905
2022-09-30,PE,3322,0.009861312308532618,68897,18444,84019,99141,0.10847217567182353,0.27610682688127547,-0.1636988602831094,0.1993892755269336,4.992811229905857,0.20229542444310603,0.3162012054001918,-0.46488114374034056,0.534507417582417,-1.7387172185430506
2022-10-31,PE,3783,0.009403944535868231,33708,10871,40796,47884,0.08563397941375198,0.2632884530774412,-0.1635182094200689,0.20893807135162684,0.873151618203897,0.3821052075072677,0.4931134893324146,-0.5000868506493507,0.6749643956889918,0.8065003436426103
2022-11-30,PE,2957,0.008652295916128032,101158,22597,120798,140438,0.10863786931541032,0.29276541660977223,-0.1492997361598269,0.19903919346628746,3.1284605024990837,0.20088126479540036,0.30448852027382806,-0.46888752079866824,0.5222464519976157,17.724960737233676
2022-12-31,PE,2352,0.007463160166017236,38581,9500,45729,52877,0.10143468498668731,0.25208186315723247,-0.17110707631821181,0.20191319542523484,2.3621802311028786,0.18769923469387748,0.2790302775984505,-0.47825800376647853,0.5079792549306058,6.549434183673466
2009-02-28,PU+,3,0.00044033465433729633,3,3,3,3,0.08333333333333333,0.25,,0.25,0.08333333333333333,-0.10626666666666668,-0.10626666666666668,-0.34,0.3612,-0.10626666666666668
2009-03-31,PU+,3,0.00026187150837988826,3,3,3,3,-0.07936507933333332,,-0.119047619,,-0.07936507933333332,-0.2506333333333333,-0.7003,-0.37595,,-0.2506333333333333
2009-04-30,PU+,4,0.00021523891519586742,4,4,4,4,0.1416666665,0.6,-0.166666667,0.3666666665,0.1416666665,-0.09265000000000001,-0.3024,-0.923,0.2762,-0.09265000000000001
2009-05-31,PU+,3,7.779477737727874e-05,3,3,3,3,0.261111111,0.475,-0.166666667,0.475,0.261111111,0.5040333333333333,0.75605,,0.75605,0.5040333333333333
2009-06-30,PU+,15,0.0003310381355932203,15,15,15,15,-0.0362037038,0.25,-0.10208333349999998,0.15925925933333332,-0.0362037038,-0.1537133333333333,-0.2452,-0.24801666666666666,0.6705,-0.1537133333333333
2009-07-31,PU+,8,0.00014609737389970415,8,8,8,8,0.063904671625,0.41666666700000005,-0.10902777799999999,0.18232323225,0.063904671625,0.11881250000000002,0.11391428571428573,-0.33240000000000003,0.38954,0.11881250000000002
2009-08-31,PU+,12,0.00019519812609798947,12,12,12,12,-0.028819444416666673,0.10925925933333334,-0.17400793642857143,0.29074074066666666,-0.028819444416666673,0.15177500000000002,0.18174545454545454,-0.35634,0.5147142857142857,0.15177500000000002
