date,keyword,CN_00,C_00,L_00,R_00,C_GxP_0,C_BxP_0,MeanTB_00,MeanVADER_00
2016-01-31,PE,4.006874990468215e-05,1847,2449,2356,0.838032061912659,0.16196793808734108,0.07936189500236561,0.15487801840822957
2016-01-31,PU+,1.9958446081379305e-06,92,85,27,0.6746987951807228,0.3253012048192771,0.0672633261847826,-0.049882608695652184
2016-02-29,PE,3.5775812574114436e-05,1512,1236,1036,0.801747311827957,0.19825268817204303,0.08164021029431082,0.13512433862433862
2016-02-29,PU+,1.9875451430063574e-06,84,97,34,0.8142857142857143,0.18571428571428575,0.03742489376190476,0.009673809523809529
2016-03-31,PE,3.319352663685578e-05,1486,1763,1360,0.7184873949579832,0.2815126050420168,0.06339754615660466,0.05233627187079407
2016-03-31,PU+,4.244125209288424e-06,190,41,60,0.9358288770053474,0.0641711229946524,-0.018181818215789472,-0.051777894736842106
2016-04-30,PE,3.9358279035873704e-05,1709,1828,1698,0.7800245098039216,0.21997549019607845,0.100985813318592,0.08474540667056758
2016-04-30,PU+,2.256940518148404e-06,98,183,201,0.4831460674157303,0.5168539325842697,-0.018926531346938776,-0.1485683673469388
2016-05-31,PE,9.78402028204243e-05,4351,8460,6218,0.7839255902694968,0.21607440973050324,0.1285919770991881,0.14301064123190071
2016-05-31,PU+,6.251339090801645e-06,278,774,311,0.4016393442622951,0.598360655737705,0.055501070730215825,-0.1657546762589928
2016-06-30,PU+,1.4810942191455745e-06,67,85,35,0.6333333333333333,0.36666666666666664,0.10662876092537313,0.05488059701492538
2016-06-30,PE,3.505993181440121e-05,1586,3767,2234,0.7468852459016393,0.25311475409836065,0.08638582681359319,0.05028234552332913
2016-07-31,PE,3.3457290830303364e-05,1516,2154,1726,0.7489740082079342,0.25102599179206564,0.10161420675850096,0.0976518469656992
2016-07-31,PU+,2.3393620237547207e-06,106,75,137,0.6831683168316832,0.3168316831683169,0.011962958415094338,-0.24778301886792453
2016-08-31,PE,5.5051635122026815e-05,2427,2875,2577,0.7844600526777875,0.21553994732221246,0.05903989895856301,-0.06769015245158633
2016-08-31,PU+,1.7012248183568238e-06,75,24,36,0.36363636363636365,0.6363636363636365,0.016677609453333332,-0.23875200000000002
2016-09-30,PE,5.4758859830224246e-05,2304,2108,1794,0.5716878402903811,0.4283121597096189,0.020562401435611062,-0.02394431423611111
2016-09-30,PU+,8.342170052260724e-06,351,302,338,0.40293040293040294,0.5970695970695972,0.12324726710256409,-0.12464387464387465
2016-10-31,PU+,3.129529799821407e-05,1327,634,700,0.28337874659400547,0.7166212534059945,-0.0059672806066314995,-0.4293272042200453
2016-10-31,PE,0.000126808453154783,5377,3981,2901,0.6587255471625024,0.3412744528374976,0.059203128180255145,0.02618538218337363
2016-11-30,PE,6.657111329212134e-05,2766,3637,2753,0.7697466467958272,0.2302533532041729,0.10377469866171962,0.13468709327548806
2016-11-30,PU+,1.2154162043572405e-05,505,60,42,0.4143426294820717,0.5856573705179282,0.00868717228118812,-0.3051249504950495
2016-12-31,PE,5.1915043419535925e-05,2000,1497,1375,0.7573264781491003,0.24267352185089971,0.1124173487854738,0.0558418
2016-12-31,PU+,2.5178796058474926e-06,97,68,61,0.2604166666666667,0.7395833333333334,-0.02769447056701031,-0.23781134020618555
2017-01-31,PE,4.729570273370611e-05,1958,2044,1328,0.7873443983402489,0.21265560165975103,0.10058980682245015,0.106638253319714
2017-01-31,PU+,3.06769879835581e-06,127,103,220,0.8114754098360655,0.18852459016393444,0.028270223307086614,0.07877559055118111
2017-02-28,PE,4.4743215870759516e-05,1654,3018,1891,0.7810173697270472,0.21898263027295284,0.10892803199895854,0.1225770253929867
2017-02-28,PU+,1.8124519125398353e-06,67,66,24,0.6153846153846154,0.38461538461538464,0.01990197819402985,-0.10685970149253733
2017-03-31,PU+,1.1295600184471885e-06,46,30,20,0.4772727272727273,0.5227272727272727,0.05932147560869566,-0.07489782608695653
2017-03-31,PE,3.226612748346969e-05,1314,1909,1129,0.8167580266249022,0.18324197337509787,0.094411302747157,0.15258736681887367
2017-04-30,PE,2.844883333884513e-05,1071,1677,1000,0.8571428571428571,0.14285714285714285,0.08899307775860063,0.14322829131652662
2017-04-30,PU+,1.0359519142996825e-06,39,669,256,0.5757575757575758,0.42424242424242425,0.021456552717948718,-0.18847948717948718
2017-05-31,PE,4.234240392494712e-05,1683,2253,1668,0.7875615763546798,0.21243842364532023,0.11089846851147354,0.12146333927510398
2017-05-31,PU+,4.126057185794016e-06,164,201,165,0.26143790849673204,0.738562091503268,-0.0038296180548780495,-0.2722219512195122
2017-06-30,PE,3.527027081235482e-05,1398,1640,1108,0.7933884297520661,0.2066115702479339,0.07396031048765983,0.10157753934191703
2017-06-30,PU+,3.052720148994945e-06,121,122,120,0.6590909090909092,0.3409090909090909,0.01328077109090909,-0.30385702479338844
2017-07-31,PU+,6.454241685434857e-07,26,66,30,0.5416666666666666,0.4583333333333333,-0.006126469,0.008730769230769233
2017-07-31,PE,2.1373469581382354e-05,861,1020,579,0.8021712907117008,0.19782870928829915,0.115821581537682,0.15166097560975608
2017-08-31,PU+,5.341617048304972e-07,22,8,8,0.631578947368421,0.3684210526315789,-0.046224747409090904,-0.23457272727272727
2017-08-31,PE,3.3725027636798205e-05,1389,2212,1400,0.7942477876106195,0.20575221238938055,0.0973687071983958,0.14877177825773938
2017-09-30,PE,2.4559159829060963e-05,944,5137,2253,0.7590759075907592,0.24092409240924093,0.10012598373578908,0.12827658898305083
2017-09-30,PU+,1.3528350753296293e-06,52,122,129,0.7435897435897436,0.2564102564102564,-0.014053952961538456,-0.010094230769230772
2017-10-31,PE,2.7008591356471085e-05,1060,3470,1843,0.8391136801541426,0.1608863198458574,0.07975141984369578,0.07075783018867925
2017-10-31,PU+,1.630707402654858e-06,64,1042,1162,0.8837209302325582,0.11627906976744184,-0.021494345031249997,-0.19376875
2017-11-30,PE,4.9638307678492515e-05,2053,12576,8353,0.8555057299451919,0.14449427005480817,0.11820269729873174,0.1717736970287384
2017-11-30,PU+,9.115266436820106e-06,377,540,521,0.708133971291866,0.29186602870813394,0.07776278797612732,-0.1255079575596817
2017-12-31,PE,3.396512572686316e-05,1434,4531,2362,0.8506723283793348,0.14932767162066526,0.11389747452645316,0.16644909344490932
2017-12-31,PU+,7.579386494139618e-07,32,37,40,0.8666666666666667,0.13333333333333333,0.0800009469375,-0.10846562500000001
2018-01-31,PU+,1.4104948654068858e-06,63,89,52,0.65,0.35000000000000003,0.04164261661904762,-0.10527142857142856
2018-01-31,PE,3.2463770711745784e-05,1450,4520,2275,0.8130372492836676,0.18696275071633237,0.1282129482116047,0.1623
2018-02-28,PE,2.69393668478398e-05,1105,2603,1232,0.7465051258154706,0.2534948741845294,0.09209371502000178,0.12823330316742082
2018-02-28,PU+,1.1702168404491497e-06,48,39,35,0.5,0.5,-0.0064754377083333335,-0.1695458333333333
2018-03-31,PE,3.088612148545584e-05,1383,3764,1779,0.7713004484304933,0.2286995515695067,0.11261096868750713,0.18984584237165583
2018-03-31,PU+,8.263098300519639e-07,37,207,70,0.7142857142857143,0.2857142857142857,0.07643328194594594,-0.08372432432432433
2018-04-30,PE,5.466231360420391e-05,2334,8228,3045,0.8870826010544816,0.11291739894551846,0.1573092114265969,0.2528015852613539
2018-04-30,PU+,1.4286208782589711e-06,61,1070,580,0.8793103448275862,0.1206896551724138,0.04474719873770492,-0.1453655737704918
2018-05-31,PE,3.872215118705228e-05,1738,8692,3572,0.803191489361702,0.19680851063829785,0.11675810875630878,0.2183012082853855
2018-05-31,PU+,1.1585453749866043e-06,52,233,176,0.7142857142857143,0.2857142857142857,0.008523754499999998,-0.23515384615384616
2018-06-30,PU+,1.4292028849581608e-06,65,312,117,0.7966101694915254,0.20338983050847456,0.08192325264615385,-0.036167692307692303
2018-06-30,PE,3.649964290816226e-05,1660,7984,2874,0.6502800248911014,0.3497199751088985,0.11037923574894659,0.15661644578313252
2018-07-31,PE,5.776728488375224e-05,2660,11994,5175,0.7784200385356455,0.22157996146435455,0.13625872689492877,0.17546270676691728
2018-07-31,PU+,1.8676640977453733e-06,86,309,120,0.7857142857142857,0.21428571428571427,0.052862522604651165,-0.07902325581395349
2018-08-31,PE,3.3364867949996835e-05,1524,5301,2418,0.6833898305084746,0.3166101694915254,0.10444107167700066,0.14709317585301837
2018-08-31,PU+,1.16032677253926e-06,53,267,77,0.803921568627451,0.19607843137254902,0.04418460211320755,0.030935849056603775
2018-09-30,PE,5.273439962128033e-05,2397,11960,5057,0.5546506643806258,0.4453493356193742,0.08291959751295243,0.06604797663746349
2018-09-30,PU+,1.4740111700566467e-06,67,450,144,0.7076923076923077,0.2923076923076923,0.02801302885074627,-0.053102985074626866
2018-10-31,PE,4.1164392542097156e-05,1912,14518,4809,0.663232104121475,0.33676789587852496,0.10687110594005253,0.11410266736401674
2018-10-31,PU+,1.7869480026119583e-06,83,144,113,0.8395061728395062,0.16049382716049385,0.09600129739759036,0.031801204819277104
2018-11-30,PU+,6.946522799249704e-07,31,345,107,0.8,0.2,0.1253665689032258,-0.039206451612903225
